Intensity,Location,Date (JP time),Time (JP time),Magnitude
4,Northern Iwate Prefecture,2/19/2021,18:11,3.9
1,Northern Wakayama Prefecture,2/19/2021,19:12,2.4
2,Off the eastern coast of Aomori,2/20/2021,1:16,4.9
2,Off the coast of Fukushima Prefecture,2/20/2021,4:01,4.3
1,Sea near Ryumi Oshima,2/20/2021,6:03,3.3
2,Off the coast of Fukushima Prefecture,2/20/2021,8:53,4.5
2,Myagi Prefecture,2/20/2021,10:17,4.1
1,"Kumamoto region, Kumamoto Prefecture",2/20/2021,12:26,2.5
1,Northern Ibaraki Prefecture,2/20/2021,20:57,2.7
3,Off the eastern coast of Hokkaido,2/20/2021,22:23,5
1,Kii Channel,2/20/2021,23:38,2.3
2,Northern Hiroshima Prefecture,2/21/2021,0:06,3.4
1,Off the coast of Fukushima Prefecture,2/21/2021,0:59,3.5
1,"Satsuma District, Kagoshima Prefecture",2/21/2021,23:28,2.5
3,Off the southeast coast of Nemuro Penninsula,2/22/2021,10:56,4.3
1,Off the coast of Fukushima Prefecture,2/22/2021,11:23,4
3,Northern Wakayama Prefecture,2/22/2021,11:57,3.2
2,Northern Ibaraki Prefecture,2/23/2021,4:42,3.1
2,Off the coast of Fukushima Prefecture,2/23/2021,6:22,4.3
1,Off the coast of Fukushima Prefecture,2/23/2021,6:40,4
2,Northern Nagano Prefecture,2/23/2021,7:05,2.8
1,Kii Channel,2/23/2021,9:36,3.4
1,Off the coast of Fukushima Prefecture,2/23/2021,9:52,4
3,Iyo Nada,2/23/2021,16:09,4.1
1,Southern Iberaki Prefecture,2/24/2021,0:56,3.4
1,Off the coast of Fukushima Prefecture,2/24/2021,2:39,3.9
1,"Satsuma District, Kagoshima Prefecture",2/24/2021,8:35,2.8
1,Southern Chiba ,2/24/2021,9:54,3.3
1,Northern Hiroshima Prefecture,2/25/2021,1:12,3.1
1,Near Beidi Island,2/25/2021,7:26,4.8